artist_reputation_score,artwork_age_years,medium_type_index,exhibition_count,auction_price_lakhs
   12.4,165,1,13,36.6
   19.7,96,5,16,32.36
   7.2,199,4,10,61.23
   10.1,47,2,28,49.16
   13.6,130,5,33,90.38
   10.2,89,3,19,41.49
   6.5,15,3,36,63.25
   19.4,50,1,38,27.3
   16.4,98,4,27,49.66
   10.3,59,4,24,44.39
   18.9,122,5,26,51.6
   6.5,12,5,14,50.7
   15.4,143,2,28,35.61
17.6,61,2,11,9.84
   17.6,136,5,31,89.49
   19.5,121,2,29,37.5
   8.1,108,5,36,101.7
   12.0,154,2,33,67.01
   19.6,198,2,33,62.04
   8.5,150,1,24,49.47
