artist_reputation_score,artwork_age_years,medium_type_index,exhibition_count,auction_price_lakhs
   8.0,123,4,6,49.19
   7.9,120,4,2,46.76
   6.2,175,1,1,33.53
   3.5,136,4,13,86.41
   7.7,24,5,1,29.7
   6.5,7,4,18,53.54
   2.8,160,2,19,67.68
   8.3,120,1,18,68.64
   8.0,179,3,6,52.18
   2.5,36,3,16,49.06
   3.4,158,3,6,67.39
   4.1,9,5,8,60.06
   4.0,187,1,3,55.85
   7.4,54,1,7,30.71
   5.6,37,2,11,16.46
   7.9,149,4,2,53.45
   9.0,60,4,19,51.04
   3.2,62,3,12,44.28
   2.5,32,5,5,50.59
   6.6,98,1,20,38.02
   4.2,107,4,18,75.91
   4.5,132,4,17,70.1
   4.8,194,4,16,95.52
   2.9,116,1,8,36.64
   9.4,177,5,15,68.59
